新聞頻道,#genre#
parse=1

TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
三立財經,https://www.youtube.com/watch?v=oZdzzvxTfUY
東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇台灣,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o

卡通頻道,#genre#
parse=1

我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
蠟筆小新,https://www.youtube.com/watch?v=_jP5o1W3eW0
中華一番,https://www.youtube.com/watch?v=2FJcu6qsM2k

風景頻道,#genre#
parse=1

瑞芳九份,https://www.youtube.com/watch?v=XSD5ptYisw8
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
金門建功嶼,https://www.youtube.com/watch?v=uh_yNAE01w8
高雄蓮池潭,https://www.youtube.com/watch?v=BnPoNatG-HE

央視,#genre#
1綜合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
1綜合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
2財經,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
3綜藝,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
4中文國際,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
5體育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
5體育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
5+體育賽事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
6電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
7國防軍事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
8電視劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
9紀錄,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
11戲曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
12社會與法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
12社會與法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
13新聞,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
13新聞,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
14少兒,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
14少兒,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
15音樂,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
16奧林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
17農業農村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

衛視,#genre#
江蘇衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江蘇衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
浙江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
湖南衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
北京衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
東方衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
東方衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
山東衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
天津衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
四川衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
吉林衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
安徽衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
江西衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
東南衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
河北衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
重慶衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
海南衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
貴州衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
廣西衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
廣東衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
遼寧衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226585/index.m3u8

黑龍江,#genre#
黑龍江少兒,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龍江文體,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龍江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龍江新聞法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龍江農業科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龍江影視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8

數字頻道,#genre#
紀實人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
紀實科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
超級電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超級電視劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
黑莓電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
精品大劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品紀錄,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
東北熱劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
