4GTV藍光,#genre#

4 民視第一台,http://xg.52sw.top:5000/litv/4gtv-4gtv003
5 民視台灣台,http://xg.52sw.top:5000/litv/4gtv-4gtv001
6 民視,http://xg.52sw.top:5000/litv/4gtv-4gtv002
9 大愛電視,http://xg.52sw.top:5000/litv/4gtv-live007
10 中視,http://xg.52sw.top:5000/litv/4gtv-4gtv040
11 中視經典台,http://xg.52sw.top:5000/litv/4gtv-4gtv080
12 華視,http://xg.52sw.top:5000/litv/4gtv-4gtv041
13 三立綜合台,http://xg.52sw.top:5000/litv/4gtv-live207
14 客家電視台,http://xg.52sw.top:5000/litv/4gtv-4gtv043
15 八大綜藝台,http://xg.52sw.top:5000/litv/4gtv-4gtv039
16 中視菁采台,http://xg.52sw.top:5000/litv/4gtv-4gtv064
17 TVBS精采台,http://xg.52sw.top:5000/litv/4gtv-4gtv067
18 愛爾達娛樂台,http://xg.52sw.top:5000/litv/4gtv-4gtv070
19 靖天綜合台,http://xg.52sw.top:5000/litv/4gtv-4gtv046
20 靖天日本台,http://xg.52sw.top:5000/litv/4gtv-4gtv047
21 新唐人亞太台,http://xg.52sw.top:5000/litv/4gtv-live050
23 ARIRANG阿里郎頻道,http://xg.52sw.top:5000/litv/4gtv-4gtv079
24 Global Trekker,http://xg.52sw.top:5000/litv/4gtv-live112
25 原住民族電視台,http://xg.52sw.top:5000/litv/4gtv-live014
26 Smart知識台,http://xg.52sw.top:5000/litv/litv-longturn19
29 東森購物四台,http://xg.52sw.top:5000/litv/4gtv-live049
30 LiveABC互動英語頻道,http://xg.52sw.top:5000/litv/4gtv-live030
31 達文西頻道,http://xg.52sw.top:5000/litv/4gtv-4gtv018
32 ELTV生活英語台,http://xg.52sw.top:5000/litv/litv-longturn20
33 Nick Jr. 兒童頻道,http://xg.52sw.top:5000/litv/4gtv-live032
34 尼克兒童頻道,http://xg.52sw.top:5000/litv/4gtv-live105
35 DreamWorks 夢工廠動畫,http://xg.52sw.top:5000/litv/4gtv-live017
36 靖天卡通台,http://xg.52sw.top:5000/litv/4gtv-4gtv044
37 靖洋卡通Nice Bingo,http://xg.52sw.top:5000/litv/4gtv-4gtv057
38 i-Fun動漫台,http://xg.52sw.top:5000/litv/litv-ftv15
39 龍華卡通台,http://xg.52sw.top:5000/litv/litv-longturn01
42 MOMO親子台,http://xg.52sw.top:5000/litv/4gtv-live107
49 東森購物一台,http://xg.52sw.top:5000/litv/4gtv-live047
50 鏡電視新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv075
51 東森新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv152
52 華視新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv052
53 民視新聞台,http://xg.52sw.top:5000/litv/litv-ftv13
54 三立新聞iNEWS,http://xg.52sw.top:5000/litv/4gtv-live089
55 TVBS新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv072
56 東森財經新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv153
57 中視新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv074
58 中天新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv009
59 Bloomberg TV,http://xg.52sw.top:5000/litv/4gtv-live059
60 寰宇新聞台,http://xg.52sw.top:5000/litv/litv-longturn14
61 寰宇新聞台灣台,http://xg.52sw.top:5000/litv/litv-longturn15
62 SBN全球財經台,http://xg.52sw.top:5000/litv/4gtv-live060
